Title,Author
An Obscure Apostle,Eliza Orzeszko
Four Plays of Gil Vicente,Gil Vicente
"Movement of the International Literary Exchanges, between France and North America from January 1845 to May, 1846",Various
Gems of German Thought,Various
"Harper's Young People, March 2, 1880",Various
William Penn,George Hodges
"Punch, or the London Charivari, Vol. 147, October 28, 1914",Various
True To His Colors,Harry Castlemon
"Medicine in Virginia, 1607-1699",Thomas P. Hughes
Goat-Feathers,Ellis Parker Butler
The Wreck on the Andamans,Joseph Darvall
Hurricane Island,H. B. Marriott Watson
Ulysses S. Grant,Walter Allen
The Hunter Cats of Connorloa,Helen Jackson
As I Remember,Marian Gouverneur
The Love Story of Abner Stone,Edwin Carlile Litsey
"Punch or the London Charivari, Vol. 147, October 21, 1914",Various
"Ben, the Luggage Boy",Horatio Alger
Life of Charles Darwin,George Thomas Bettany
"If, Yes and Perhaps",Edward Everett Hale
Too Old for Dolls,Anthony Mario Ludovici
Lessons of the war with Spain and other articles,Alfred T. Mahan
"The Wide, Wide World",Susan Warner
"Poems of Henry Vaughan, Silurist, Volume II",Henry Vaughan
Hebrew Literature,Various
Rambles Beyond Railways,Wilkie Collins
Nancy Stair,Elinor Macartney Lane
Rural Problems of Today,Ernest R. Groves
MindGames,Samuel Vaknin
"Harper's Young People, February 24, 1880",Various
British Socialism,J. Ellis Barker
"Punch, or the London Charivari, Vol. 147, October 14, 1914",Various
Applied Psychology: Making Your Own World,Warren Hilton
By Conduct and Courage,George Alfred Henty
The Ranch at the Wolverine,B. M. Bower
"Harper's Young People, February 17, 1880",Various
The Children's Longfellow,Doris Hayman
Dick and His Cat and Other Tales,Various
Lives of the Presidents Told in Words of One Syllable,Jean S. Remy
The Golden House,Mrs. Woods Baker
"Harper's Young People, February 10, 1880",Various
Deathworld,Harry Harrison
Somehow Good,William de Morgan
"Harper's Young People, February 3, 1880",Various
"Blackwood's Edinburgh Magazine, Volume 56, Number 349, November, 1844",Various
Birdseye Views of Far Lands,James T. Nichols
On Calvinism,William Hull
The Education of Children,Desiderius Erasmus
Hushed Up,William Le Queux
"Blackwood's Edinburgh Magazine, Vol 58, No. 357, July 1845",Various
The New Hudson Shakespeare: Julius Caesar,William Shakespeare
Messengers of Evil,Pierre Souvestre and Marcel Allain
The Young Ranchers,Edward S. Ellis
"Reflections on the Operation of the Present System of Education, 1853",Christopher C. Andrews
The Land of Thor,J. Ross Browne
"Americanism Contrasted with Foreignism, Romanism, and Bogus Democracy in the Light of Reason, History, and Scripture",William Gannaway Brownlow
Continuous Vaudeville,Will M. Cressy
Aladdin of London,Sir Max Pemberton
"Supplement To ""Punch, Or The London Charivari."" October 14, 1914",Various
"Travels in North America, From Modern Writers",William Bingley
Pioneer Surgery in Kentucky,David W. Yandell
A Tramp's Wallet,William Duthie
Life in a Tank,Richard Haigh
"Harper's Young People, January 27, 1880",Various
"Bournemouth, Poole & Christchurch",Sidney Heath
One Way Out,William Carleton
The Yellow Fairy Book,Leonore Blanche Alleyne Lang
"Harper's Young People, January 20, 1880",Various
Atheism in Pagan Antiquity,A.B. Drachmann
"Notes and Queries, Number 82, May 24, 1851",Various
"Christopher Hibbault, Roadmaker",Marguerite Bryant
The Children's Book of Christmas Stories,Various
A Christmas Accident and Other Stories,Annie Eliot Trumbull
The Christmas Fairy,"John Strange Winter, Frances E. Crompton and Mrs. Molesworth]"
A Likely Story,William Dean Howells
"Harper's Young People, January 13, 1880",Various
The Smart Set,Clyde Fitch
The Arkansaw Bear,Albert Bigelow Paine
The Beloved Woman,Kathleen Norris
"Harper's Young People, January 6, 1880",Various
The Orbis Pictus,John Amos Comenius
Cavalry in Future Wars,Frederick von Bernhardi
"The Christian Foundation, Or, Scientific and Religious Journal, Volume 1, No. 5, May, 1880",Various
The Maids of Paradise,Robert William Chambers
Pilgrimage from the Alps to the Tiber,James Aitken Wylie
The Tale of Jolly Robin,Arthur Scott Bailey
Ralph on the Engine,Allen Chapman
Our Home in the Silver West,Gordon Stables
"The Essays of ""George Eliot""",George Eliot
Vanished towers and chimes of Flanders,George Wharton Edwards
Lady of the Lake,Sir Walter Scott
"The Atlantic Monthly, Volume 20, No. 121, November, 1867",Various
The Evolution of Modern Capitalism,John Atkinson Hobson
"Mary Queen of Scots, Makers of History",Jacob Abbott
Egyptian Literature,Various
Liberalism,L. T. Hobhouse
My First Battle,Adam Mickiewicz
The End of the Rainbow,Marian Keith
"Harper's Young People, December 30, 1879",Various
The Beauties of Nature,Sir John Lubbock
The Cruise of the Betsey,Hugh Miller
Biographia Scoticana,John Howie
Seven Miles to Arden,Ruth Sawyer
Hypolympia,Edmund Gosse
Art in Needlework,Lewis F. Day and Mary Buckle
The Countess of Albany,Violet Paget
Venus in Boston,George Thompson
The Duke's Motto,Justin Huntly McCarthy
"Harper's Young People, December 23, 1879",Various
"Cleek, the Master Detective",Thomas W. Hanshew
Soap-Bubble Stories,Fanny Barry
Avatâras,Annie Besant
"Harper's Young People, December 16, 1879",Various
Captain Sword and Captain Pen,Leigh Hunt
"The Story of the Great War, Volume I",Various
Thoughts on a Revelation,Samuel John Jerram
"Shelters, Shacks and Shanties",D.C. Beard
"McGill and its Story, 1821-1921",Cyrus Macmillan
Violin Making,Walter H. Mayson
Preliminary Study of the Emotion of Love between the Sexes,Sanford Bell
"Harper's Young People, December 9, 1879",Various
The Testimony of the Rocks,Hugh Miller
A Popular History of Astronomy During the Nineteenth Century,Agnes Mary Clerke
"Harper's Young People, December 2, 1879",Various
Prisoners of Poverty Abroad,Helen Campbell
The Gay Rebellion,Robert W. Chambers
"An Appeal in Favor of that Class of Americans, Called Africans",Lydia Maria Child
A Padre in France,George A. Birmingham
Pan Tadeusz,Adam Mickiewicz
The Story of Kentucky,R. S. Eubank
A Vanished Hand,Sarah Doudney
A Romantic Young Lady,Robert Grant
In Orchard Glen,Marian Keith
'Lizbeth of the Dale,Marian Keith
Possession,Laurence Housman
"Anderson Crow, Detective",George Barr McCutcheon
The Battle with the Slum,Jacob A. Riis
"The War in the Air, Vol. 1",Walter Raleigh
The Book-Collector,William Carew Hazlitt
Quaker Hill,Warren H. Wilson
Due West,Maturin Murray Ballou
Dorothy's Triumph,Evelyn Raymond
Three Unpublished Poems,Louisa M. Alcott
Respiration Calorimeters for Studying the Respiratory Exchange and Energy Transformations of Man,Francis Gano Benedict and Thorne M. Carpenter
Empire,Clifford Donald Simak
"Notes and Queries, Number 236, May 6, 1854",Various
"Harper's Young People, November 25, 1879",Various
Famous Women: George Sand,Bertha Thomas
The Gospel Day,Charles Ebert Orr
Washington Crossing the Delaware,Henry Fisk Carlton
How Mr. Rabbit Lost his Tail,Albert Bigelow Paine
Moods,Louisa May Alcott
Louis Philippe,John Stevens Cabot Abbott
A Budget of Christmas Tales,Charles Dickens and Others
"Harper's Young People, November 18, 1879",Various
"Notes and Queries, Number 231, April 1, 1854",Various
Mr. Rabbit's Wedding,Albert Bigelow Paine
Mr. Turtle's Flying Adventure,Albert Bigelow Paine
"Opening Ceremonies of the New York and Brooklyn Bridge, May 24, 1883","Franklin Edson, William C. Kingsley and Seth Low"
A Chapter of Adventures,G. A. Henty
My Friends the Savages,Giovanni Battista Cerruti ]
Chronicles : Historie of England,Raphaell Holinshed
The Wanderings and Homes of Manuscripts,M. R. James
"Harper's Young People, November 11, 1879",Various
"Harper's Young People, November 4, 1879",Various
The Rubaiyat of Omar Cayenne,Gelett Burgess
Shadow and Light,Mifflin Wistar Gibbs
Hanover; Or The Persecution of the Lowly,David Bryant Fulton
The Inglises,Margaret Murray Robertson
Sound Military Decision,The U.S. Naval War College
Insects and Diseases,Rennie W. Doane
The Private Library,Arthur L. Humphreys
Three Young Pioneers,John Theodore Mueller
A Solemn Caution Against the Ten Horns of Calvinism,Thomas Taylor
They Shall Not Pass,Frank H. Simonds
Slave Narratives: a Folk History of Slavery in the United States From Interviews with Former Slaves,The Work Projects Administration
Memoirs To Illustrate The History Of My Time,François Pierre Guillaume Guizot
A Modern Mercenary,Kate Prichard and Hesketh Vernon Hesketh-Prichard
Installation and Operation Instructions For The Custom Mark III CP Series Oil Fired Unit,Anonymous
The Big Bow Mystery,I. Zangwill
The Higher Powers of Mind and Spirit,Ralph Waldo Trine
The Invader,Margaret L. Woods
The Master Mummer,E. Phillips Oppenheim
The 'Pioneer': Light Passenger Locomotive of 1851,John H. White
History of the War in South Africa 1899-1902 v. 1-4,Frederick Maurice
"A Student's History of England, v. 1",Samuel Rawson Gardiner
Minor Detail,John Michael Sharkey
Sword and Pen,John Algernon Owens
Her Ladyship's Elephant,David Dwight Wells
Cotton is King and The Pro-Slavery Arguments,Various
Letters on the Cholera Morbus,James Gillkrest and William Fergusson
On the Future of our Educational Institutions,Friedrich Nietzsche
Attack,Edward G. D. Liveing
"The Nursery, April 1878, Vol. XXIII, No. 4",Various
"The Nursery, March 1878, Vol. XXIII, No. 3",Various
"The Nursery, February 1878, Vol. XXIII, No. 2",Various
"The Nursery, December 1877, Vol. XXII, No. 6",Various
"The Nursery, November 1877, Vol. XXII, No. 5",Various
"The Nursery, October 1877, Vol. XXII, No. 4",Various
"The Nursery, September 1877, Vol. XXII, No. 3",Various
"The Nursery, August 1877, Vol. XXII, No. 2",Various
"The Nursery, July 1877, XXII, No. 1",Various
"The Nursery, June 1877, Vol. XXI, No. 6",Various
"The Nursery, May 1877, Vol. XXI, No. 5",Various
"The Nursery, April 1877, Vol. XXI, No. 4",Various
"The Nursery, March 1877, Vol, XXI, No. 3",Various
"The Nursery, February 1877, Vol. XXI, No. 2",Various
"The Nursery, January 1877, Volume XXI, No. 1",Various
"The Christian Foundation, Or, Scientific and Religious Journal, Volume 1, No. 4, April, 1880",Various
Dear Santa Claus,Various
The Scarlet Feather,Houghton Townley
"My Father, the Cat",Henry Slesar
The Great Gray Plague,Raymond F. Jones
"India, Its Life and Thought",John P. Jones
The Red Watch,J. A. Currie
The Great Sioux Trail,Joseph A. Altsheler
Alonzo and Melissa,"Daniel Jackson, Jr. and Isaac Mitchell"
Moment of Truth,Basil Eugene Wells
Jimsy,Leona Dalrymple
How to make rugs,Candace Wheeler
The Pennyles Pilgrimage,John Taylor
The Complete Golfer,Harry Vardon
A Learned Dissertation on Dumpling,"Anonymous  Pudding and Dumpling Burnt to Pot, Or a Compleat Key to the Dissertation on Dumpling ]"
"The Pulpit Of The Reformation, Nos. 1, 2, 3 and 4.","John Knox, Hugh Latimer and John Welch"
The Transfiguration of Miss Philura,Florence Morse Kingsley
The Van Dwellers,Albert Bigelow Paine
Wigwam Evenings,Charles Alexander Eastman and Elaine Goodale Eastman
Holiday Tales,W. H. H. Murray
English: Composition and Literature,William Franklin Webster
The Lilac Fairy Book,Andrew Lang
Hengenvakuutus,Franz Hoffmann
Mediaeval Tales,Various
The Confessions of Arsène Lupin,Maurice Leblanc
"Punch or the London Charivari, Vol. 147, October 7, 1914",Various
The Double Four,Edward Phillips Oppenheim
Hints on Driving,C. S. Ward
Tatterdemalion,John Galsworthy
The Beth Book,Sarah Grand
Tuskegee & Its People: Their Ideals and Achievements,Various
"Malcolm Sage, Detective",Herbert George Jenkins
The Honest American Voter's Little Catechism for 1880,Blythe Harding
"Friends in Feathers and Fur, and Other Neighbors",James Johonnot
"Original Short Stories, Complete, Volumes 1-13",Guy de Maupassant
"The Christian Foundation, Or, Scientific and Religious Religious Journal, Volume 1, No. 3, March 1880",Various
The Buccaneer,Mrs. S. C. Hall
"A Yacht Voyage to Norway, Denmark, and Sweden",W. A. Ross
"A History of Art in Chaldæa & Assyria, v. 1",Georges Perrot and Charles Chipiez
The Red Triangle,Arthur Morrison
A Man of Two Countries,Alice Harriman
Alice in Blunderland,John Kendrick Bangs
The Spirit of American Government,J. Allen Smith
"The Christian Foundation, Or, Scientific and Religious Journal, Volume 1, No. 2, February, 1880",Various
The Pecan and its Culture,H. Harold Hume
The Next Logical Step,Benjamin William Bova
The Man Who Saw the Future,Edmond Hamilton
The Fight for the Argonne,William Benjamin West
A Lost Hero,Elizabeth Stuart Phelps Ward and Herbert D. Ward
A Text-Book of Precious Stones for Jewelers and the Gem-Loving Public,Frank Bertram Wade
Highways and Byways in Surrey,Eric Parker
Music and Some Highly Musical People,James M. Trotter
The Brothers Karamazov,Fyodor Dostoyevsky
Celebration in Baltimore of the Triumph of Liberty in France,William Wirt
John Brown: A Retrospect,Alfred Roe
Caesar Rodney's Ride,Henry Fisk Carlton
Women As Sex Vendors,R. B. Tobias and Mary E. Marcy ]
Shepherd of the Planets,Alan Mattox
Strange Alliance,Bryce Walton
"Critical and Historical Essays, Volume III",Macaulay by Thomas Babington Macaulay
Walls of Acid,Henry Hasse
Ships in Harbour,David Morton
Selections from the Poems and Plays of Robert Browning,Robert Browning
Robin Tremayne,Emily Sarah Holt
Watch and Wait,Oliver Optic
In Doublet and Hose,Lucy Foster Madison
Public School Education,Michael Müller
Scenes in the Hawaiian Islands and California,Mary Evarts Anderson
The Wild Huntress,Mayne Reid
Sprays of Shamrock,Clinton Scollard
Resurrection,Robert Joseph Shea
Reluctant Genius,Henry Slesar
Scottish Football Reminiscences and Sketches,David Drummond Bone
Dwellers in Arcady,Albert Bigelow Paine
Great Pianists on Piano Playing,James Francis Cooke
The Story of John G. Paton,James Paton
Pictorial Photography in America 1922,Various
Pictorial Photography in America 1921,Various
El Diablo,Brayton Norton
Pictures and Stories from Uncle Tom's Cabin,Unknown
"History of Woman Suffrage, Volume I",Gage
Birds in the Bush,Bradford Torrey
Otherwise Phyllis,Meredith Nicholson
In the Tail of the Peacock,Isabel Savory
"Pictorial Photography in America, 1920",Various
Old New England Traits,Anonymous
"The American Quarterly Review, No. 17, March 1831",Various
Tomato Culture: A Practical Treatise on the Tomato,William Warner Tracy
"Bacon's Rebellion, 1676",Thomas Jefferson Wertenbaker
Under the Southern Cross,Elizabeth Robins
Little Folks,Various
The Perpetual Curate,Mrs Oliphant
A Little Tour of France,Henry James
"Supplement to Punch, or the London Charivari, September 16, 1914",Various
Inaugural Presidential Address,Barack Obama
Inaugural Presidential Address,Barack Obama
Dante: His Times and His Work,Arthur John Butler
The New Tenant,E. Phillips Oppenheim
Robert Orange,John Oliver Hobbes
The Free Lances,Mayne Reid
The History of London,Walter Besant
Bruin,Mayne Reid
The Blue Bird for Children,Georgette Leblanc
Theo,Mrs. Frances Hodgson Burnett
Museum of Antiquity,L. W. Yaggy and T. L. Haines
Glory and the Other Girl,Annie Hamilton Donnell
Judith Lynn,Annie Hamilton Donnell
Marjorie Dean,Pauline Lester
Ralph Gurney's Oil Speculation,James Otis
The Orphans of Glen Elder,Margaret Murray Robertson
The Ocean Waifs,Mayne Reid
The Plant Hunters,Mayne Reid
Wood Rangers,Mayne Reid
"Commentary on Genesis, Vol. II",Martin Luther
A Dictionary of Austral English,Edward Morris
Delineations of the Ox Tribe,George Vasey
A Lover's Litanies,Eric Mackay
The County Regiment,Dudley Landon Vaill
Tulan,Carroll Mather Capps
"Punch, or the London Charivari, Vol. 147, September 30, 1914",Various
The Dop Doctor,"Clotilde Inez Mary Graves  wrote under the pen name ""Richard Dehan.""]"
The Chestermarcke Instinct,J. S. Fletcher
History of Education,Levi Seeley
One Snowy Night,Emily Sarah Holt
In Convent Walls,Emily Sarah Holt
Plain Facts,G. A. Bauman
Handbook of The New York Public Library,New York Public Library
The New Nation,Frederic L. Paxson
The Enchanted Castle,Hartwell James
Policeman Bluejay,L. Frank Baum
The Rhodesian,Gertrude Page
Daisy,Susan Warner
Progress and History,Francis Sydney Marvin
"The Home Medical Library, Volume V",Kenelm Winslow
"The Home Medical Library, Volume II",Kenelm Winslow
"The Home Medical Library, Volume I",Kenelm Winslow
"A System Of Logic, Ratiocinative And Inductive",John Stuart Mill
Laurus Nobilis,Vernon Lee
Under Fire,Frank Andrew Munsey
"It, and Other Stories",Gouverneur Morris
Forest Neighbors,William Davenport Hulbert
History of the Division of Medical Sciences,Sami Khalaf Hamarneh
David Fleming's Forgiveness,Margaret Murray Robertson
The Lady of Loyalty House,Justin Huntly McCarthy
In Eastern Seas,J. J. Smith
The Art of Disappearing,John Talbot Smith
Mugby Junction,Charles Dickens
Betty Leicester,Sarah Orne Jewett
David and the Phoenix,Edward Ormondroyd
The Love of Frank Nineteen,David Carpenter Knight
Ben Comee,Michael Joseph Canavan
The Mines and its Wonders,W.H.G. Kingston
The Strange Adventures of Mr. Middleton,Wardon Allan Curtis
Gabriel and the Hour Book,Evaleen Stein
The Quadroon,Mayne Reid
Gloucester Moors and Other Poems,William Vaughn Moody
The Giraffe Hunters,Mayne Reid
Under the Ensign of the Rising Sun,Harry Collingwood
Dick Leslie's Luck,Harry Collingwood
Fix Bay'nets,George Manville Fenn
Hunting the Skipper,George Manville Fenn
The Voyage of the Aurora,Harry Collingwood
The Magic World,Edith Nesbit
Bird-Lover in the West,Olive Thorne Miller and Harriet Mann Miller
Jewish Literature and Other Essays,Gustav Karpeles
The Kopje Garrison,George Manville Fenn
The Pearl of Lima,Jules Verne
"Punch or the London Charivari, Vol. 147, September 23, 1914",Various
The Merriweather Girls in Quest of Treasure,Lizette M. Edholm
Familiar Quotations,John Bartlett
Making People Happy,Thompson Buchanan
Wild Animals at Home,Ernest Thompson Seton
India and the Indians,Edward F. Elwin
"Ainslee's, Vol. 15, No. 6, July 1905",Various
Niels Klim's journey under the ground,Baron Ludvig Holberg
Kosciuszko,Monica Mary Gardner
In Château Land,Anne Hollingsworth Wharton
Evening Dress,W. D. Howells
An Abridgment of the Architecture of Vitruvius,Vitruvius
Foot-prints of Travel,Maturin M. Ballou
The Spirit of Rome,Vernon Lee
"A History of the French Novel, Vol. 2",George Saintsbury
The Seven Seas,Rudyard Kipling
A Theodicy,Albert Taylor Bledsoe
The Glow-Worm and Other Beetles,Jean Henri Fabre
"Scientific American magazine, Vol. 2 Issue 1",Various
Great Britain at War,Jeffery Farnol
George Borrow in East Anglia,William A. Dutt
"Ainslee's, Vol. 15, No. 5, June 1905",Various
The Legacy of Ignorantism,T.H. Pardo de Tavera
The Cauliflower,A. A. Crozier
Kathay: A Cruise in the China Seas,W. Hastings Macaulay
The Message,Alec John Dawson
The Dominant Dollar,Will Lillibridge
Bandit Love,Juanita Savage
How the Flag Became Old Glory,Emma Look Scott
Gold Dust,E. L. E. B.
A Christmas Faggot,Alfred Gurney
The Young Alaskans in the Rockies,Emerson Hough
Th' History o' Haworth Railway,Bill o'th' Hoylus End
Hymns of the Greek Church,John Brownlie
The Economic Aspect of Geology,C. K. Leith
Only an Irish Girl,Mrs. Hungerford ]
A Bachelor's Dream,Mrs. Hungerford ]
Paul and the Printing Press,Sara Ware Bassett
Zenith Television Receiver Operating Manual,Zenith Radio Corporation
Conversation,Mary Greer Conklin
Introduction to the History of Religions,Crawford Howell Toy
The Kama Sutra of Vatsyayana,Vatsyayana
The Olive Fairy Book,Various
Juggernaut,Alice Campbell
Little Folks,Various
A History of Mediaeval Jewish Philosophy,Isaac Husik
Round Games with Cards,W. H. Peel
"Blackwood's Edinburgh Magazine, August 1845",Various
Gycia,Lewis Morris
"The Celtic Magazine, Vol. 1, No. 2, December 1875",Various
Feuerbach: The roots of the socialist philosophy,Frederick Engels
Merry-Garden and Other Stories,Sir Arthur Thomas Quiller-Couch Contents: Merry-Garden      The Bend of the Road      Hi-Spy-Hi      His Excellency's Prize-Fight      The Black Joke      Where the Treasure Is      A Jest of Ambialet
"Buchanan's Journal of Man, January 1888",Various
Macaria,Augusta Jane Evans Wilson
"Chips from a German Workshop, Vol. V.",F. Max Müller
The Wind in the Willows,Kenneth Grahame
The Boarding School,Unknown
Darius the Great,Jacob Abbott
Children of Borneo,Edwin Herbert Gomes
"Holland, v. 1",Edmondo de Amicis
The Silver Lining,John Roussel
Vital Ingredient,Gerald Vance
"Buchanan's Journal of Man, December 1887",Various
Apologia Diffidentis,W. Compton Leith
FantÃ´mas,Pierre Souvestre and Marcel Allain
Child and Country,Will Levington Comfort
The Arrow-Maker,Mary Austin
A Practical Enquiry into the Philosophy of Education,James Gall
A Royal Prisoner,Pierre Souvestre and Marcel Allain
The American Empire,Scott Nearing
The Rough Road,William John Locke
A Book About Lawyers,John Cordy Jeaffreson
Tales of the Malayan Coast,Rounsevelle Wildman
Revised Edition of Poems,William Wright
Treasure Island,Robert Louis Stevenson
Solomon Crow's Christmas Pockets & Other Tales,Ruth McEnery Stuart
"Outlines of Dairy Bacteriology, 8th edition",H. L. Russell
Lafayette,Martha Foote Crow
The Methodist,Evan Lloyd
Once on a Time,A. A. Milne
The Battaile of Agincourt,Michael Drayton
Slavery: What it was; has done,Cydnor Bailey Tompkins
Romance of Roman Villas,Elizbeth Williams Champney
A Yeoman's Letters,P. T. Ross
Dramatic Reader for Lower Grades,Florence Holbrook
"Journal of a Young Man of Massachusetts, 2nd ed.",Benjamin Waterhouse
Hamlet,William Shakespeare
Luca Signorelli,Maud Cruttwell
"Buchanan's Journal of Man, November 1887",Various
Revenge,Arthur Porges
Hidden Symbolism of Alchemy and the Occult Arts,Herbert Silberer
The Flower Basket,Unknown
Aphrodisiacs and Anti-aphrodisiacs,John Davenport
The Hilltop Boys,Cyril Burleigh
Admiral Farragut,A. T. Mahan
From Jungle to Java,Arthur Keyser
Popular Lectures on Zoonomia,Thomas Garnett
"Personal Recollections, from Early Life to Old Age, of Mary Somerville",Mary Somervills
"Schedule of Salaries for Teachers, Members of the Supervising staff and others",the Boston School Committee
The True Story of the American Flag,John H. Fow
Remarks on Clarissa,Sarah Fielding
Through Finland in Carts,Ethel Brilliana Alec-Tweedie
Popular Education,Ira Mayhew
Colonel Carter's Christmas and The Romance of an Old-Fashioned Gentleman,F. Hopkinson Smith
"A Letter to the Right Honorable the Lord Chancellor, on the Nature and Interpretation of Unsoundness of Mind, and Imbecility of Intellect",John Haslam
Poetical Works of Matthew Arnold,Matthew Arnold
Le Petit Chose,Alphonse Daudet
In the Great Steep's Garden,Elizabeth Madox Roberts
Through Siberia and Manchuria By Rail,Oliver George Ready
City Crimes,Greenhorn
The New World,Witter Bynner
The Doomsman,Van Tassel Sutphen
In Court and Kampong,Hugh Clifford
Within the Golden Gate,Laura Young Pinney
Tolstoy on Shakespeare,Leo Tolstoy
"The Works of Theophile Gautier, Volume 5",Theophile Gautier
"Masterpieces of Mystery, Vol. 1",Various
Parables from Flowers,Gertrude P. Dyer
"Buchanan's Journal of Man, October 1887",Various
A Portrait of Old George Town,Grace Dunlop Ecker
"The American Missionary - Volume 54, No. 01, January, 1900",Various
The Elements of Bacteriological Technique,John William Henry Eyre
Sir Harry Hotspur of Humblethwaite,Anthony Trollope
Germinie Lacerteux,Edmond and Jules de Goncourt
Lives of the Engineers,Samuel Smiles
Five O'Clock Tea,W. D. Howells
Saint Athanasius,F.A. Forbes
Life of St. Vincent de Paul,F.A. Forbes
The Golden Face,William Le Queux
"Buchanan's Journal of Man, September 1887, Vol. 1 No. 8",Various
Mr. Stubbs's Brother,James Otis
The Greatest Highway in the World,Anonymous
The Rose-Jar,Thomas Samuel Jones
"McClure's Magazine, Vol 31, No 2, June 1908",Various
"Principles of Political Economy, Vol. 1 of 2",William Roscher
The Mouse and The Moonbeam,Eugene Field
A Fine Fix,R. C. Noll
Little Folks,Various
"Romulus, Makers of History",Jacob Abbott
Nobody's Girl,Hector Malot
A Hundred Years by Post,J. Wilson Hyde
Steam Turbines,Hubert E. Collins
Anthony Lyveden,Dornford Yates
The World I Live In,Helen Keller
The Panchronicon,Harold Steele Mackaye
Betty's Battles,S. L. M
Lectures on the Origin and Growth of Religion as Illustrated by the Native Religions of Mexico and Peru,Albert Réville
Vasco Nuñez de Balboa,Frederick Albion Ober
Why Joan?,Eleanor Mercein Kelly
A Runaway Brig;,James Otis
The Man from Archangel,A. Conan Doyle
William Shakespeare as he lived.,Henry Curling
The Golden Triangle,Maurice Leblanc
Englefield Grange,H. B. Paull
Address to the First Graduating Class of Rutgers Female College,Henry M. Pierce
Where Duty Called,Victor St. Clair
The Song of Songs,Hermann Sudermann
Perverted Proverbs,"Harry Graham,"
"Fish Populations, Following a Drought, in the Neosho and Marais des Cygnes Rivers of Kansas",James Everett Deacon
An Australian Bird Book,John Albert Leach
"Splores of a Halloween, Twenty Years Ago",Alexander Dick
Lachesis Lapponica,Carl von Linné
Nooks and Corners of Cornwall,C. A. Dawson Scott
A Lame Dog's Diary,S. Macnaughtan
The Wayfarers,J. C. Snaith
The Boss of Wind River,A. M. Chisholm
Paper-Cutting Machines,"Niel Gray, Jr.  ]"
Woodcraft,Elmer Harry Kreps
Stained Glass Tours in France,Charles Hitchcock Sherrill
The Scientific Basis of National Progress,George Gore
Told by the Death's Head,Mór Jókai
Child of the Sea; and Life Among the Mormons,Elizabeth Whitney Williams
The Outlook: Uncle Sam's Place and Prospects in International Politics,Newton Macmillan
"Shorter Novels, Eighteenth Century","Samuel Johnson, Horace Walpole and William Beckford"
The Story of the Atlantic Telegraph,Henry Martyn Field
Quisisana,Friedrich Spielhagen
Cat and Fiddle Book,Lady Florence Bell and Mrs. Herbert Richmond
Fanny,Fitz-Greene Halleck
Dr. Adriaan,Louis Couperus
813,Maurice Leblanc
Mashi and Other Stories,Rabindranath Tagore
The Orpheus C. Kerr Papers. Series 2,Robert H. Newell
Romantic Spain,John Augustus O'Shea ]
Poems,Rebekah Smith
"Encyclopaedia Britannica, 11th Edition, Volume 8, Slice 8",Various
The Girls of Central High on Track and Field,Gertrude W. Morrison
Problematic Characters,Friedrich Spielhagen
Comrade Kropotkin,Victor Robinson
The White Man's Foot,Grant Allen
Gamblers and Gambling,Henry Ward Beecher
The Two Twilights,Henry A. Beers
Wayside and Woodland Trees,Edward Step
"The Ivory Gate, a new edition",Walter Besant
Beethoven,Thomas Tapper
True Christianity,Johann Arndt
Max Carrados,Ernest Bramah
40 years / 40 años / 40 ans,Marie Lebert C
Charles Darwin,Grant Allen
How to Prosper in Boll Weevil Territory,G. H. Alford
"Betty Lee, Sophomore",Harriet Pyne Grove
Sketch of the Life and Labors of George Whitefield,John Charles Ryle
The Hidden Force,Louis Couperus
Lola,Owen Davis
The Lighter Side of School Life,Ian Hay
We Were There at the Oklahoma Land Run,James Arthur Kjelgaard
Through Nature to God,John Fiske
A Short History of English Liberalism,Walter Lyon Blease
The Life of Roger Langdon,"Roger Langdon, Ellen Langdon and Henry Clifton Lambert"
One of My Sons,Anna Katharine Green
The Man with the Double Heart,Muriel Hine
With God in the World,Charles H. Brent
Russian Fairy Tales,R. Nisbet Bain
British Goblins,Wirt Sikes
The Tower of Oblivion,Oliver Onions
"Encyclopaedia Britannica, 11th Edition, Volume 3, Slice 7",Various
Steam Engines,Anonymous
God's Green Country,Ethel M. Chapman
Essays Upon Some Controverted Questions,Thomas H. Huxley
The Lost Wagon,James Arthur Kjelgaard
Hoofbeats on the Turnpike,Mildred A. Wirt
"Dorothy Payne, Quakeress",Ella Kent Barnard
The Wishing Well,Mildred A. Wirt
"Speeches, Addresses, and Occasional Sermons, Volume 3",Theodore Parker
Vestigia,George Fleming
Vestigia,George Fleming
English Pharisees and French Crocodiles,Max O'Rell
Intra Muros,Rebecca Ruter Springer
The Secret Pact,Mildred A. Wirt
The Frontier Angel,Edward S. Ellis
The Messiah in Moses and the Prophets,Eleazar Lord
Jonathan and His Continent,Max O'Rell and Jack Allyn
Footsteps of Fate,Louis Couperus
Red Eagle and the Wars With the Creek Indians of Alabama,George Cary Eggleston
Mr. Punch's Country Life,Various
Adventures Among the Red Indians,H. W. G. Hyrst
The Baron's Sons,Mór Jókai
The Chief Engineer,Henry Abbott
Fish Stories,Henry Abbott
Camps and Trails,Henry Abbott
Camping at Cherry Pond,Henry Abbott
Lost Pond,Henry Abbott
The Young Yagers,Mayne Reid
The Vee-Boers,Mayne Reid
Original Penny Readings,George Manville Fenn
